Company,Area,Item,y2016,y2017,y2018,y2019
CITY OF MOSS POINT,Mississippi,Residential Volume,,34029,41162,37280
CITY OF MOSS POINT,Mississippi,Commercial Volume,,30265,36546,32442
CITY OF MOSS POINT,Mississippi,Industrial Volume,,22905,21362,19263
CITY OF PARTRIDGE,Kansas,Residential Volume,4520,5138,6374,5808
CITY OF PARTRIDGE,Kansas,Commercial Volume,1570,1230,1493,990
CITY OF PARTRIDGE,Kansas,Industrial Volume,727,659,550,499
CITY OF SPUR,Texas,Residential Volume,17518,18308,15375,15375
CITY OF SPUR,Texas,Commercial Volume,1319,1593,1338,1338
CITY OF SUSANVILLE,California,Residential Volume,103003,128917,101868,114736
CITY OF SUSANVILLE,California,Commercial Volume,110148,115319,107625,113368
CITY OF VICKSBURG,Mississippi,Residential Volume,194666,171669,232035,221312
CITY OF VICKSBURG,Mississippi,Commercial Volume,201688,188005,225206,211588
CITY OF VICKSBURG,Mississippi,Industrial Volume,103783,82195,86842,104741
CLAIBORNE UTILITIES DISTRICT,Tennessee,Residential Volume,20441,20322,24226,24789
CLAIBORNE UTILITIES DISTRICT,Tennessee,Commercial Volume,83701,83109,97078,98395
CLAIBORNE UTILITIES DISTRICT,Tennessee,Industrial Volume,116546,114096,116674,117342
CLARKE MOBILE COUNTIES GAS DISTRICT,Alabama,Residential Volume,126011,116949,151109,138453
CLARKE MOBILE COUNTIES GAS DISTRICT,Alabama,Commercial Volume,172214,178914,206402,199643
CLARKE MOBILE COUNTIES GAS DISTRICT,Alabama,Industrial Volume,12694624,12128749,12143186,11294724
CLARKE MOBILE COUNTIES GAS DISTRICT,Alabama,Electric Power Volume,93273,67612,41807,42303
CLARKSVILLE GAS DEPT,Tennessee,Residential Volume,889350,931929,1252810,1141588
CLARKSVILLE GAS DEPT,Tennessee,Commercial Volume,885321,1124632,1523895,1611295
CLARKSVILLE GAS DEPT,Tennessee,Industrial Volume,3006839,3014271,2987141,2791579
CLAXTON  CITY OF,Georgia,Residential Volume,16810,15869,15186,14614
CLAXTON  CITY OF,Georgia,Commercial Volume,28386,22247,20117,19565
CLAXTON  CITY OF,Georgia,Industrial Volume,209141,227558,214913,222069
CLAY CITY OF,Kentucky,Residential Volume,28465,26326,34449,32359
CLAY CITY OF,Kentucky,Commercial Volume,6965,8560,8865,10216
CLAY CITY VILLAGE OF,Illinois,Residential Volume,21453,19314,26218,22289
CLAY CITY VILLAGE OF,Illinois,Commercial Volume,7922,8067,10751,10635
CLAY GAS,Tennessee,Residential Volume,,,2720,9344
CLAY GAS,Tennessee,Commercial Volume,,,1868,13308
CLAY GAS,Tennessee,Industrial Volume,,,6190,14727
CLAY GAS UTILITY DISTRICT,Tennessee,Residential Volume,5894,6270,6202,
CLAY GAS UTILITY DISTRICT,Tennessee,Commercial Volume,5438,6638,8223,
CLAY GAS UTILITY DISTRICT,Tennessee,Industrial Volume,24594,25720,19877,
CLAYTON TOWN OF,Louisiana,Residential Volume,3316,2733,3414,2638
CLAYTON TOWN OF,Louisiana,Commercial Volume,330,318,424,450
CLEAN ENERGY,Alabama,Industrial Volume,,31217,55813,17723
CLEAN ENERGY,Alabama,Vehicle Fuel Volume,42236,40694,37261,30280
CLEAN ENERGY,Arizona,Vehicle Fuel Volume,930832,975259,1032172,817813
CLEAN ENERGY,Arkansas,Vehicle Fuel Volume,,,1168,
CLEAN ENERGY,California,Industrial Volume,254322,229756,178034,168445
CLEAN ENERGY,California,Vehicle Fuel Volume,5972010,5832813,5113150,5570864
CLEAN ENERGY,Colorado,Industrial Volume,3960,,,
CLEAN ENERGY,Colorado,Vehicle Fuel Volume,284631,298929,267023,298286
CLEAN ENERGY,Connecticut,Vehicle Fuel Volume,169636,187660,203868,190471
CLEAN ENERGY,Florida,Vehicle Fuel Volume,271206,293605,339089,421334
CLEAN ENERGY,Georgia,Industrial Volume,3286,,,
CLEAN ENERGY,Georgia,Vehicle Fuel Volume,311908,295349,261295,240082
CLEAN ENERGY,Idaho,Vehicle Fuel Volume,52932,49500,54447,57315
CLEAN ENERGY,Illinois,Vehicle Fuel Volume,125349,91737,46829,24420
CLEAN ENERGY,Indiana,Industrial Volume,17483,28,,
CLEAN ENERGY,Indiana,Vehicle Fuel Volume,260016,95098,5793,
CLEAN ENERGY,Kansas,Vehicle Fuel Volume,30206,15312,12828,6070
CLEAN ENERGY,Kentucky,Vehicle Fuel Volume,28254,40644,78462,59756
CLEAN ENERGY,Louisiana,Vehicle Fuel Volume,15911,16891,19458,14951
CLEAN ENERGY,Maryland,Vehicle Fuel Volume,105884,96301,129295,116109
CLEAN ENERGY,Massachusetts,Vehicle Fuel Volume,99881,108597,120162,115727
CLEAN ENERGY,Minnesota,Vehicle Fuel Volume,0,,,
CLEAN ENERGY,Mississippi,Vehicle Fuel Volume,22627,15852,34014,6618
CLEAN ENERGY,Missouri,Vehicle Fuel Volume,129949,103979,78088,75896
CLEAN ENERGY,Nebraska,Vehicle Fuel Volume,4882,10642,7984,5581
CLEAN ENERGY,Nevada,Industrial Volume,48317,49522,28738,23017
CLEAN ENERGY,Nevada,Vehicle Fuel Volume,244306,179505,141247,98222
CLEAN ENERGY,New Hampshire,Vehicle Fuel Volume,2158,1652,284,534
CLEAN ENERGY,New Jersey,Vehicle Fuel Volume,167149,162889,186750,137106
CLEAN ENERGY,New Mexico,Vehicle Fuel Volume,85439,78638,86882,60206
CLEAN ENERGY,New York,Vehicle Fuel Volume,294880,328376,251145,245327
CLEAN ENERGY,North Carolina,Vehicle Fuel Volume,38579,22956,19318,23458
CLEAN ENERGY,Ohio,Vehicle Fuel Volume,148520,138204,108655,87134
CLEAN ENERGY,Oklahoma,Vehicle Fuel Volume,34389,22499,23872,20306
CLEAN ENERGY,Oregon,Vehicle Fuel Volume,49309,54794,67744,49160
CLEAN ENERGY,Pennsylvania,Vehicle Fuel Volume,170378,187185,219760,256887
CLEAN ENERGY,Rhode Island,Vehicle Fuel Volume,1353,160,,
CLEAN ENERGY,South Carolina,Vehicle Fuel Volume,66641,62377,46285,21424
CLEAN ENERGY,Tennessee,Vehicle Fuel Volume,9854,19260,,10682
CLEAN ENERGY,Texas,Industrial Volume,96838,35342,238941,290719
CLEAN ENERGY,Texas,Vehicle Fuel Volume,1779275,1762173,1678260,1522207
CLEAN ENERGY,Utah,Vehicle Fuel Volume,48303,63046,77341,78105
CLEAN ENERGY,Virginia,Vehicle Fuel Volume,54897,45717,56356,56356
CLEAN ENERGY,Washington,Vehicle Fuel Volume,237096,199005,174740,166625
CLEAN ENERGY FUELS,Nebraska,Vehicle Fuel Volume,,,,5581
CLEARBROOK MUNICIPAL GAS CITY OF,Minnesota,Residential Volume,9555,9861,12145,12692
CLEARBROOK MUNICIPAL GAS CITY OF,Minnesota,Commercial Volume,12306,12700,14624,12820
CLEARBROOK MUNICIPAL GAS CITY OF,Minnesota,Industrial Volume,42604,43967,44312,31206
CLEARFIELD NAT GAS CO,Iowa,Residential Volume,5912,6107,7756,7486
CLEARFIELD NAT GAS CO,Iowa,Commercial Volume,13275,23731,29470,25364
CLEARWATER GAS SYS,Florida,Residential Volume,322747,321710,371783,376878
CLEARWATER GAS SYS,Florida,Commercial Volume,1312220,1284452,1327263,1312987
CLEARWATER GAS SYS,Florida,Industrial Volume,678422,685581,674418,725732
CLEARWATER GAS SYS,Florida,Vehicle Fuel Volume,30669,42475,65749,60815
CLIFTON GAS DEPT,Tennessee,Residential Volume,8066,7366,19083,9798
CLIFTON GAS DEPT,Tennessee,Commercial Volume,21271,12947,19968,25659
CLIFTON GAS DEPT,Tennessee,Industrial Volume,413,475,358,355
CLINTON CITY OF,Kentucky,Residential Volume,24185,23840,29940,30141
CLINTON CITY OF,Kentucky,Industrial Volume,19500,20008,25061,23060
CLINTON NEWBERRY NAT GAS AUTHORITY,South Carolina,Residential Volume,529039,530947,618494,581746
CLINTON NEWBERRY NAT GAS AUTHORITY,South Carolina,Commercial Volume,332413,320510,360459,374287
CLINTON NEWBERRY NAT GAS AUTHORITY,South Carolina,Industrial Volume,1455180,1654041,1685414,1557352
CLINTON TOWN OF,Louisiana,Residential Volume,18726,17485,15095,13252
CLINTON TOWN OF,Louisiana,Commercial Volume,,,4577,4522
COBDEN MUN GAS SYS,Illinois,Residential Volume,13918,14205,17704,17255
COBDEN MUN GAS SYS,Illinois,Commercial Volume,5267,5067,7403,7357
COBRA PL CO LTD,Ohio,Commercial Volume,104970,141172,,
COBRA PL CO LTD,Ohio,Industrial Volume,253877,251041,,
COCHRAN CITY OF,Georgia,Residential Volume,79771,68236,80932,76068
COCHRAN CITY OF,Georgia,Commercial Volume,25691,25853,28015,28181
COCHRAN CITY OF,Georgia,Industrial Volume,140128,138298,172751,237720
COHASSET CITY OF,Minnesota,Residential Volume,77754,89448,120219,117243
COHASSET CITY OF,Minnesota,Commercial Volume,15448,35658,34078,30679
COHASSET CITY OF,Minnesota,Industrial Volume,34745,54582,41323,39973
COLFAX GAS DEPT,Louisiana,Residential Volume,12262,12613,14868,12629
COLFAX GAS DEPT,Louisiana,Commercial Volume,1722,1513,1806,1920
COLLINWOOD CITY OF,Tennessee,Residential Volume,17697,16140,18955,18718
COLLINWOOD CITY OF,Tennessee,Commercial Volume,3151,2878,3662,3909
COLLINWOOD CITY OF,Tennessee,Industrial Volume,0,0,,
COLONIAL GAS CO CO KEYSPAN,Massachusetts,Residential Volume,13378014,14158810,15771974,15427942
COLONIAL GAS CO CO KEYSPAN,Massachusetts,Commercial Volume,7072019,7200559,7535222,7157965
COLONIAL GAS CO CO KEYSPAN,Massachusetts,Industrial Volume,3171920,3271738,3519872,3627621
COLORADO INTERSTATE GAS COMPANY LLC,Colorado,Industrial Volume,11471534,11139671,12766808,14292295
COLORADO INTERSTATE GAS COMPANY LLC,Colorado,Electric Power Volume,67073766,66012053,76718107,74331331
COLORADO INTERSTATE GAS COMPANY LLC,Kansas,Industrial Volume,919859,990625,1037045,742412
COLORADO INTERSTATE GAS COMPANY LLC,Kansas,Electric Power Volume,415,349,225,181
COLORADO INTERSTATE GAS COMPANY LLC,Oklahoma,Industrial Volume,98581,110010,82825,104487
COLORADO INTERSTATE GAS COMPANY LLC,Texas,Industrial Volume,1878570,1766867,1153183,98930
COLORADO INTERSTATE GAS COMPANY LLC,Texas,Electric Power Volume,157808,565282,1249976,
COLORADO INTERSTATE GAS COMPANY LLC,Wyoming,Industrial Volume,13341394,13782218,14279953,15181140
COLORADO INTERSTATE GAS COMPANY LLC,Wyoming,Electric Power Volume,4553270,2871285,2120570,
COLORADO NATURAL GAS INC,Colorado,Residential Volume,1783066,1774943,1441086,1618713
COLORADO NATURAL GAS INC,Colorado,Commercial Volume,440057,433470,357711,375662
COLORADO NATURAL GAS INC,Colorado,Industrial Volume,100073,118692,175642,167648
COLORADO SPRINGS UTILITIES,Colorado,Residential Volume,11762538,11223829,12144865,13236492
COLORADO SPRINGS UTILITIES,Colorado,Commercial Volume,10483396,9961990,10432612,11103802
COLORADO SPRINGS UTILITIES,Colorado,Electric Power Volume,15640083,11728231,17524104,17671525
COLQUITT GAS SYS CITY OF,Georgia,Residential Volume,2589,2477,3726,2579
COLQUITT GAS SYS CITY OF,Georgia,Commercial Volume,10397,10084,9913,26337
COLQUITT GAS SYS CITY OF,Georgia,Industrial Volume,17933,24233,17902,
COLUMBIA GAS DIST CO,Kentucky,Residential Volume,7127939,7149545,8565835,8010601
COLUMBIA GAS DIST CO,Kentucky,Commercial Volume,7439777,7570958,8650050,8328593
COLUMBIA GAS DIST CO,Kentucky,Industrial Volume,14181878,14329303,14707083,14435920
COLUMBIA GAS DIST CO,Kentucky,Electric Power Volume,5184,2366,213,21
COLUMBIA GAS DIST CO,Maryland,Residential Volume,2128618,2138752,2444203,2305794
COLUMBIA GAS DIST CO,Maryland,Commercial Volume,2314898,2312355,2605535,2498831
COLUMBIA GAS DIST CO,Maryland,Industrial Volume,1218839,1263462,1258129,1377154
COLUMBIA GAS OF MASSACHUSETTS,Massachusetts,Residential Volume,23731178,24542343,25882536,26095395
COLUMBIA GAS OF MASSACHUSETTS,Massachusetts,Commercial Volume,10279443,11327623,11765471,11723113
COLUMBIA GAS OF MASSACHUSETTS,Massachusetts,Industrial Volume,14815172,14605468,15460880,15865738
COLUMBIA GAS OF MASSACHUSETTS,Massachusetts,Electric Power Volume,6985974,6247044,5036430,2809464
COLUMBIA GAS OF OHIO,Ohio,Residential Volume,94676377,97427523,112019472,109637026
COLUMBIA GAS OF OHIO,Ohio,Commercial Volume,61380319,63616908,71407669,72612091
COLUMBIA GAS OF OHIO,Ohio,Industrial Volume,72891828,79696396,83227722,84192245
COLUMBIA GAS OF PENNSYLVANIA,Pennsylvania,Residential Volume,29625172,30313866,34617622,32729432
COLUMBIA GAS OF PENNSYLVANIA,Pennsylvania,Commercial Volume,21062831,21789447,24225710,23552427
COLUMBIA GAS OF PENNSYLVANIA,Pennsylvania,Industrial Volume,19782263,22690807,23368747,22757147
COLUMBIA GAS OF PENNSYLVANIA,Pennsylvania,Electric Power Volume,,68912,59860,29386
COLUMBIA GAS OF VIRGINIA,Virginia,Residential Volume,13791168,13705506,15987482,14981536
COLUMBIA GAS OF VIRGINIA,Virginia,Commercial Volume,15201163,15594148,16912790,16729000
COLUMBIA GAS OF VIRGINIA,Virginia,Industrial Volume,39872551,41875717,43609981,41785364
COLUMBIA GAS OF VIRGINIA,Virginia,Electric Power Volume,90091090,71123791,87566762,79988306
COLUMBIA GAS TRANSMISSION CORP,Kentucky,Industrial Volume,0,,,
COLUMBIA GAS TRANSMISSION CORP,Kentucky,Electric Power Volume,4327354,4670564,5103577,8664528
COLUMBIA GAS TRANSMISSION CORP,Maryland,Electric Power Volume,3473568,1463181,2669805,615982
COLUMBIA GAS TRANSMISSION CORP,New Jersey,Electric Power Volume,33377215,32676080,26778389,29304878
COLUMBIA GAS TRANSMISSION CORP,New York,Electric Power Volume,554660,465471,704795,521818
COLUMBIA GAS TRANSMISSION CORP,Ohio,Industrial Volume,2124343,1756953,1585887,1575347
COLUMBIA GAS TRANSMISSION CORP,Ohio,Electric Power Volume,1227627,2159850,3330716,5031024
COLUMBIA GAS TRANSMISSION CORP,Pennsylvania,Industrial Volume,1394469,1524801,1473025,1574358
COLUMBIA GAS TRANSMISSION CORP,Pennsylvania,Electric Power Volume,8133044,6753209,5873474,3039158
COLUMBIA GAS TRANSMISSION CORP,Virginia,Industrial Volume,20425685,22883083,21147880,25507758
COLUMBIA GAS TRANSMISSION CORP,Virginia,Electric Power Volume,77954814,75256536,74806343,84552916
COLUMBIA GAS TRANSMISSION CORP,West Virginia,Electric Power Volume,1214937,1104197,1623488,2504309
COLUMBIA GULF TRANSMISSION,Louisiana,Industrial Volume,8251,5454,10210,9194
COLUMBIA GULF TRANSMISSION,Louisiana,Electric Power Volume,44861375,43898978,56168930,51915120
COLUMBIA GULF TRANSMISSION,Mississippi,Electric Power Volume,6869646,6741622,9474556,15257175
COLUMBIA GULF TRANSMISSION,Tennessee,Electric Power Volume,2824695,2125778,593704,1368233
COLUMBIA TOWN OF,Louisiana,Residential Volume,3413,3308,4419,4578
COLUMBIA TOWN OF,Louisiana,Commercial Volume,4168,3857,4610,4756
COLUMBUS CITY OF,Texas,Residential Volume,26701,24208,36346,35546
COLUMBUS CITY OF,Texas,Commercial Volume,38288,39250,43015,39982
COMANCHE TRAIL PIPELINE COMPANY,Texas,Industrial Volume,,,,1039159
COMMERCE CITY OF,Georgia,Residential Volume,64894,56368,78674,74613
COMMERCE CITY OF,Georgia,Commercial Volume,116453,115740,139390,145954
COMMERCE CITY OF,Georgia,Industrial Volume,252363,277205,266821,301012
COMMUNITY COOPS OF LAKE PARK,Minnesota,Residential Volume,14441,36824,54057,59773
COMMUNITY COOPS OF LAKE PARK,Minnesota,Commercial Volume,135075,138044,226672,185263
COMMUNITY COOPS OF LAKE PARK,Minnesota,Industrial Volume,51144,55310,42812,48377
COMMUNITY ENERGY RESOURCES COOP,Ohio,Residential Volume,62988,65799,85925,84420
COMMUNITY ENERGY RESOURCES COOP,Ohio,Commercial Volume,59359,63094,71142,70539
COMMUNITY NATURAL GAS CO INC,Indiana,Residential Volume,341549,327760,417461,410594
COMMUNITY NATURAL GAS CO INC,Indiana,Commercial Volume,283730,296147,343505,358712
COMMUNITY NATURAL GAS CO INC,Indiana,Industrial Volume,137940,115243,141504,139957
COMMUNITY UTIL CO,Minnesota,Residential Volume,53385,59952,65232,66150
COMMUNITY UTIL CO,Minnesota,Commercial Volume,24492,26145,28456,27909
COMMUNITY UTIL CO,Minnesota,Industrial Volume,7810,13552,11407,15214
CON GAS UTIL DIS GRANT PARISH,Louisiana,Residential Volume,17725,14817,20533,20026
CON GAS UTIL DIS GRANT PARISH,Louisiana,Commercial Volume,3096,2569,3554,3452
CON GAS UTIL DIS GRANT PARISH,Louisiana,Vehicle Fuel Volume,34,,,
CONCORDIA CITY OF,Kansas,Commercial Volume,1011,1217,2084,2630
CONNECTICUT NAT GAS CORP,Connecticut,Residential Volume,15941139,16921363,18907555,18156064
CONNECTICUT NAT GAS CORP,Connecticut,Commercial Volume,14346085,14825582,16087416,16022254
CONNECTICUT NAT GAS CORP,Connecticut,Industrial Volume,3497363,3984987,4425987,4421310
CONNECTICUT NAT GAS CORP,Connecticut,Electric Power Volume,1057464,493724,531658,65052
CONNECTICUT NAT GAS CORP,Connecticut,Vehicle Fuel Volume,46,16,13,
CONOCOPHILLIPS ALASKA  INC,Alaska,Residential Volume,95823,95183,113222,104777
CONOCOPHILLIPS ALASKA  INC,Alaska,Commercial Volume,2099543,3746,32001,555830
CONOCOPHILLIPS ALASKA  INC,Alaska,Industrial Volume,2005700,2464410,2422644,12155920
CONOCOPHILLIPS ALASKA  INC,Alaska,Electric Power Volume,8482096,8459802,8580722,
CONSOLIDATED EDISON NEW YORK INC,New York,Residential Volume,89462832,94777834,109356525,106089573
CONSOLIDATED EDISON NEW YORK INC,New York,Commercial Volume,119414934,123628589,128313388,124296537
CONSOLIDATED EDISON NEW YORK INC,New York,Industrial Volume,1783909,1799408,1934280,1934322
CONSOLIDATED EDISON NEW YORK INC,New York,Electric Power Volume,127571647,96431878,104103538,89772066
CONSOLIDATED EDISON NEW YORK INC,New York,Vehicle Fuel Volume,31107,33206,27288,23158
CONSTELLATION LNG LLC,Massachusetts,Residential Volume,,,1018797,6951184
CONSTELLATION LNG LLC,Massachusetts,Commercial Volume,,,134066,359265
CONSTELLATION LNG LLC,Massachusetts,Electric Power Volume,,,3342547,16017114
CONSTELLATION LNG LLC,Massachusetts,Vehicle Fuel Volume,,,483,372
CONSUMERS ENERGY COMPANY,Michigan,Residential Volume,148631704,151706382,163340897,166797804
CONSUMERS ENERGY COMPANY,Michigan,Commercial Volume,73943979,76439211,84482669,85373466
CONSUMERS ENERGY COMPANY,Michigan,Industrial Volume,57817169,57015331,60266540,59114489
CONSUMERS ENERGY COMPANY,Michigan,Electric Power Volume,73433791,63039380,73120866,76658225
CONSUMERS ENERGY COMPANY,Michigan,Vehicle Fuel Volume,6618,,,
CONSUMERS GAS CO,Illinois,Residential Volume,309609,275986,358274,337417
CONSUMERS GAS CO,Illinois,Commercial Volume,113644,113908,134961,147011
CONSUMERS GAS CO,Illinois,Industrial Volume,144955,126785,152400,146747
CONSUMERS GAS COMPANY INC,Texas,Residential Volume,6649,6763,12176,13698
CONSUMERS GAS COMPANY INC,Texas,Commercial Volume,7107,7790,9780,9309
CONSUMERS GAS COOP,Ohio,Residential Volume,414335,480708,634006,623199
CONSUMERS GAS COOP,Ohio,Commercial Volume,382319,431256,470746,454432
CONSUMERS GAS COOP,Ohio,Industrial Volume,242279,304645,404143,399617
CONSUMERS GAS UTIL CO,West Virginia,Residential Volume,426773,402160,488880,453768
CONSUMERS GAS UTIL CO,West Virginia,Commercial Volume,154875,142689,183729,180272
CONSUMERS GAS UTIL CO,West Virginia,Industrial Volume,19456,15554,14481,20030
COOKEVILLE GAS DEPARTMENT,Tennessee,Residential Volume,314080,306179,401852,
COOKEVILLE GAS DEPARTMENT,Tennessee,Commercial Volume,465343,474272,569858,
COOKEVILLE GAS DEPARTMENT,Tennessee,Industrial Volume,431330,393518,434829,
COON RAPIDS MUN UTIL,Iowa,Residential Volume,34006,34987,42686,42962
COON RAPIDS MUN UTIL,Iowa,Commercial Volume,16487,16937,20163,21446
COON RAPIDS MUN UTIL,Iowa,Industrial Volume,2904,11706,5888,16659
COPAN PUBLIC WORKS AUTHORITY,Oklahoma,Residential Volume,13194,11729,17590,19028
COPAN PUBLIC WORKS AUTHORITY,Oklahoma,Commercial Volume,2378,1621,1598,1040
COPANO P L UPPER GULF COAST,Texas,Commercial Volume,2449,2908,5285,20402
CORDELE NATURAL GAS SYSTEM CITY OF,Georgia,Residential Volume,19419,17271,20954,18176
CORDELE NATURAL GAS SYSTEM CITY OF,Georgia,Commercial Volume,60462,57790,62461,59332
CORDELE NATURAL GAS SYSTEM CITY OF,Georgia,Industrial Volume,361226,348332,398027,390621
CORDELE NATURAL GAS SYSTEM CITY OF,Georgia,Electric Power Volume,19232,25070,2886,1884
CORDOVA WTR WKS AND GAS BD,Alabama,Residential Volume,9797,9743,11128,7108
CORDOVA WTR WKS AND GAS BD,Alabama,Commercial Volume,4297,4286,4848,4740
CORDOVA WTR WKS AND GAS BD,Alabama,Industrial Volume,110673,113871,112059,108288
CORINTH CITY OF GAS AND WATER,Mississippi,Residential Volume,261468,230504,337319,324008
CORINTH CITY OF GAS AND WATER,Mississippi,Commercial Volume,186327,171358,233184,216496
CORINTH CITY OF GAS AND WATER,Mississippi,Industrial Volume,228870,223376,286562,258386
CORIX UTILITIES INC,Texas,Residential Volume,7291,5323,6443,6905
CORIX UTILITIES INC,Texas,Commercial Volume,1403,3441,3393,3289
CORN TOWN OF,Oklahoma,Residential Volume,12862,13364,8094,9155
CORN TOWN OF,Oklahoma,Commercial Volume,,,5059,4679
CORNING MUNICIPAL UTILITIES,Iowa,Residential Volume,40106,40361,50929,51954
CORNING MUNICIPAL UTILITIES,Iowa,Commercial Volume,59387,57256,73119,70798
CORNING MUNICIPAL UTILITIES,Iowa,Industrial Volume,2058514,2140175,2232065,2365812
CORNING NAT GAS CORP,New York,Residential Volume,1471039,1549019,1451481,1402948
CORNING NAT GAS CORP,New York,Commercial Volume,373911,384327,440051,437616
CORNING NAT GAS CORP,New York,Industrial Volume,3710341,3790526,3986397,4121814
CORONA VILLAGE OF,New Mexico,Residential Volume,3645,4649,5067,5419
CORONA VILLAGE OF,New Mexico,Commercial Volume,4617,3685,4527,4740
CORPUS CHRISTI GAS DIV,Texas,Residential Volume,987536,947040,1133242,1215416
CORPUS CHRISTI GAS DIV,Texas,Commercial Volume,2164080,2206394,2199476,2461478
CORPUS CHRISTI GAS DIV,Texas,Vehicle Fuel Volume,52244,51529,55278,55584
COSERV GAS LTD,Texas,Residential Volume,5734567,5940959,8954855,9414392
COSERV GAS LTD,Texas,Commercial Volume,1190822,1263985,1572910,1653812
COTULLA CITY OF,Texas,Residential Volume,9614,10082,12045,12443
COTULLA CITY OF,Texas,Commercial Volume,20606,22026,21887,27608
COUNCE GAS CORP,Tennessee,Residential Volume,3355,2972,4037,3863
COUNCE GAS CORP,Tennessee,Commercial Volume,3902,3295,3745,3211
COUNCE GAS CORP,Tennessee,Industrial Volume,6368,5213,5447,4691
COVINGTON CITY OF,Tennessee,Residential Volume,132520,130118,180972,165108
COVINGTON CITY OF,Tennessee,Commercial Volume,165152,154234,207967,196640
COVINGTON CITY OF,Tennessee,Industrial Volume,201177,202267,211433,223477
COVINGTON NAT GAS SYS,Georgia,Residential Volume,318879,333547,388669,357347
COVINGTON NAT GAS SYS,Georgia,Commercial Volume,452654,451655,521924,520975
COVINGTON NAT GAS SYS,Georgia,Industrial Volume,1172607,1126677,1190962,1221524
COVINGTON TOWN OF,Oklahoma,Residential Volume,9424,9094,9756,11692
COVINGTON TOWN OF,Oklahoma,Commercial Volume,2664,2441,3759,3784
CPN PIPELINE COMPANY,California,Electric Power Volume,6898720,6738990,5568314,6664492
CRANBERRY PL CORP,West Virginia,Industrial Volume,5046202,6930828,6533949,3870663
CRESCENT CITY NAT GAS,Florida,Residential Volume,15827,12474,19648,15743
CRESCENT CITY NAT GAS,Florida,Commercial Volume,10608,10052,10828,10647
CROCKETT PUBLIC UTILITY DIST,Tennessee,Residential Volume,40085,39984,58663,66531
CROCKETT PUBLIC UTILITY DIST,Tennessee,Commercial Volume,8989,9168,11464,11090
CROCKETT PUBLIC UTILITY DIST,Tennessee,Industrial Volume,10587,18216,16399,22474
CROOKS MUNICIPAL GAS,South Dakota,Residential Volume,49501,48811,55667,70187
CROOKS MUNICIPAL GAS,South Dakota,Commercial Volume,14990,20515,22751,20528
CUBA CITY OF GAS DEPARTMENT,Missouri,Residential Volume,35797,32881,46080,40823
CUBA CITY OF GAS DEPARTMENT,Missouri,Commercial Volume,31491,29104,34017,38917
CUBA CITY OF GAS DEPARTMENT,Missouri,Industrial Volume,147413,129503,143612,131313
CULLMAN JEFFERSON GAS,Alabama,Residential Volume,378897,358468,469329,431660
CULLMAN JEFFERSON GAS,Alabama,Commercial Volume,435483,420162,534664,499288
CULLMAN JEFFERSON GAS,Alabama,Industrial Volume,2354355,2424689,2380276,2310880
CULLMAN JEFFERSON GAS,Alabama,Vehicle Fuel Volume,2536,429,335,301
CUSHING CITY OF,Texas,Residential Volume,6820,6502,8655,7959
CUSHING CITY OF,Texas,Commercial Volume,2841,2076,2733,2117
CUT BANK GAS CO,Montana,Residential Volume,101596,113399,109330,116880
CUT BANK GAS CO,Montana,Commercial Volume,63517,69865,83055,95520
CUTHBERT NATURAL GAS SYSTEM CITY OF,Georgia,Residential Volume,12697,10614,15005,12576
CUTHBERT NATURAL GAS SYSTEM CITY OF,Georgia,Commercial Volume,26877,24306,32276,24648
CUTHBERT NATURAL GAS SYSTEM CITY OF,Georgia,Industrial Volume,1709462,1581087,1672381,1714652
CYPRESS GAS P L CO,Louisiana,Industrial Volume,148365700,130330061,150193886,115018158
D & H GAS CO,Texas,Residential Volume,2302,1492,2118,2105
D & H GAS CO,Texas,Commercial Volume,4378,5212,4890,8467
DADEVILLE GAS BOARD,Alabama,Residential Volume,14574,14703,19015,17682
DADEVILLE GAS BOARD,Alabama,Commercial Volume,21080,19416,22378,21420
DAHLGREN GAS SYSTEM,Illinois,Residential Volume,17598,16316,15743,14627
DAHLGREN GAS SYSTEM,Illinois,Commercial Volume,,,5363,5244
DAISETTA CITY OF,Texas,Residential Volume,1689,1513,2104,2038
DAISETTA CITY OF,Texas,Commercial Volume,322,311,481,490
DAKOTA GASIFICATION CO,North Dakota,Industrial Volume,7110154,8290162,9861024,9588493
DAKOTA GASIFICATION CO,North Dakota,Electric Power Volume,,93910,173031,272578
DALTON UTILITIES,Georgia,Residential Volume,209574,205019,259227,231452
DALTON UTILITIES,Georgia,Commercial Volume,1171616,1064524,1260543,1171144
DALTON UTILITIES,Georgia,Industrial Volume,5404696,5870053,5688246,5494579
DALTON UTILITIES,Georgia,Electric Power Volume,0,,,
DALTON UTILITIES,Georgia,Vehicle Fuel Volume,0,,,
DALTON UTILITIES,Georgia,Other Volume,0,,,
DANVILLE CITY OF,Virginia,Residential Volume,709458,682265,853946,770781
DANVILLE CITY OF,Virginia,Commercial Volume,486802,501691,601963,570551
DANVILLE CITY OF,Virginia,Industrial Volume,2018891,1927679,2022964,2017777
DAPHNE UTILS BD CITY OF,Alabama,Residential Volume,74132,69527,60500,78595
DAPHNE UTILS BD CITY OF,Alabama,Commercial Volume,103110,105983,258200,118127
DAPHNE UTILS BD CITY OF,Alabama,Vehicle Fuel Volume,0,,,
DAWSON CITY OF,Georgia,Residential Volume,13284,11589,16823,16432
